ID,E-W,N-S,SPAD
1,716699.372,7695353.984,64
2,716698.379,7695355.595,64.7
3,716697.137,7695358.487,66.2
4,716695.575,7695361.414,68.9
5,716693.858,7695363.847,66.6
6,716692.443,7695366.409,65.1
7,716690.384,7695369.183,64.5
8,716688.795,7695370.941,65.5
9,716686.373,7695373.671,64.7
10,716683.231,7695377.238,68.1
11,716681.133,7695379.482,59.3
12,716678.961,7695381.647,64.2
13,716677.129,7695383.005,64.6
14,716674.946,7695384.32,65.6
15,716673.107,7695386.766,66.7
16,716671.124,7695388.204,68.7
17,716669.211,7695388.928,65.1
18,716666.841,7695390.616,61.4
19,716663.83,7695392.19,65.2
20,716658.238,7695395.481,66.4
21,716656.05,7695396.876,63.1
22,716652.484,7695397.47,68.1
23,716649.692,7695398.308,65.7
24,716647.649,7695398.629,63.7
25,716645.429,7695400.113,69.1
26,716640.964,7695401.145,63.6
27,716637.865,7695401.547,64.3
28,716634.831,7695401.933,65.9
29,716632.098,7695401.912,70.4
30,716629.023,7695402.565,69.6
31,716626.76,7695402.37,67.2
32,716623.94,7695402.134,66.4
33,716621.484,7695401.833,69.7
34,716618.598,7695401.874,69.3
35,716615.816,7695401.771,68.8
36,716613.662,7695401.095,68.9
37,716610.889,7695400.802,68.2
38,716608.257,7695400.454,67
39,716605.09,7695399.294,68.1
40,716601.308,7695398.344,61.4
41,716598.648,7695397.632,68.6
42,716595.648,7695396.379,63.9
43,716592.318,7695395.552,71.1
44,716590.393,7695394.349,67
45,716587.957,7695392.996,65.7
46,716585.657,7695392.36,66.3
47,716583.324,7695390.868,68
48,716580.795,7695388.917,66.2
49,716578.594,7695387.18,64.6
50,716576.293,7695386.306,64.2
51,716573.284,7695384.299,67.6
52,716571.049,7695382.793,66.4
53,716569.526,7695380.599,65.5
54,716567.207,7695378.389,62.8
55,716565.41,7695376.127,62.4
56,716563.629,7695374.09,62.6
57,716561.379,7695372.783,65.8
58,716559.823,7695370.247,61.5
59,716558.042,7695367.73,59.6
60,716557.318,7695364.444,64.2
61,716555.136,7695362.698,60.1
62,716553.602,7695360.1,61.5
63,716551.696,7695358.059,63.3
64,716550.889,7695357.402,64.3
65,716549.35,7695354.277,64.1
66,716548.15,7695350.174,62.6
67,716547.784,7695347.979,61.9
68,716547.452,7695345.131,64.4
69,716546.068,7695342.947,59.5
70,716545.858,7695339.822,66.5
71,716544.979,7695337.279,61.9
72,716544.359,7695334.735,62.1
73,716543.829,7695332.192,63.3
74,716543.538,7695329.042,66.2
75,716543.685,7695325.413,61
76,716543.569,7695323.765,67
77,716543.319,7695320.955,66.2
78,716544.034,7695317.265,57.2
79,716543.37,7695314.364,62.9
80,716543.892,7695311.593,66.7
81,716544.254,7695309.051,65.8
82,716544.608,7695306.138,61.3
83,716545.153,7695302.591,61.9
84,716545.467,7695299.933,63
85,716546.023,7695297.183,61.7
86,716547.957,7695294.859,63.7
87,716547.449,7695291.917,65.5
88,716549.347,7695288.108,63
89,716552.12,7695284.473,63.7
90,716553.713,7695282.241,60.1
91,716554.672,7695279.862,61.9
92,716556.561,7695276.78,61.4
93,716558.505,7695273.909,63.1
94,716560.741,7695270.538,61.4
95,716562.851,7695268.541,58.4
96,716564.975,7695266.366,63.1
97,716566.682,7695263.493,62.2
98,716568.466,7695261.321,65.2
99,716571.034,7695258.924,61.1
100,716573.49,7695257.28,68.3
101,716576.749,7695255.118,61.5
102,716578.799,7695253.81,64.2
103,716581.363,7695252.103,63.6
104,716585.276,7695250.188,64.7
105,716586.577,7695249.252,64.4
106,716590.058,7695247.654,64.3
107,716594.543,7695245.652,63.8
108,716597.348,7695245.032,59.1
109,716601.727,7695243.543,68.3
110,716605.343,7695242.536,62.9
111,716611.686,7695241.387,63.3
112,716614.28,7695240.834,60.1
113,716617.668,7695240.519,60.5
114,716620.603,7695240.528,63.2
115,716623.62,7695240.722,59.5
116,716629.928,7695240.816,62.5
117,716633.096,7695240.688,58.9
118,716634.709,7695241.314,60
119,716637,7695241.969,58
120,716640.217,7695242.116,59.1
121,716643.002,7695242.603,56
122,716646.73,7695243.47,56.9
123,716650.019,7695244.493,59.9
124,716652.801,7695245.807,64.5
125,716655.091,7695246.83,58.3
126,716657.972,7695248.402,63.7
127,716660.043,7695249.435,61.2
128,716663.215,7695250.875,60
129,716665.81,7695252.475,61.4
130,716668.643,7695254.204,60.1
131,716671.846,7695254.976,62
132,716672.916,7695256.056,65
133,716675.368,7695258.653,62.3
134,716677.355,7695260.325,64.7
135,716680.585,7695263.421,59.9
136,716683.097,7695265.936,62
137,716683.983,7695268.11,61.8
138,716687.162,7695270.818,64.7
139,716689.086,7695273.45,57.3
140,716690.632,7695275.355,65.1
141,716692.457,7695276.643,64.9
142,716693.997,7695278.527,62.9
143,716695.555,7695281.998,64.1
144,716696.67,7695284.954,64.8
145,716698.78,7695288.44,64.1
146,716699.352,7695291.554,64.9
147,716700.121,7695294.344,65.6
148,716701.183,7695296.81,63.9
149,716701.902,7695300.136,65.8
150,716702.636,7695303.044,65.6
151,716703.577,7695305.857,65
152,716704.25,7695309.016,61.7
153,716705.339,7695311.79,59.6
154,716704.69,7695314.362,62.8
155,716704.751,7695316.843,60.5
156,716706.227,7695320.313,62.3
157,716704.818,7695323.18,62.8
158,716704.919,7695325.719,65.9
159,716704.53,7695328.467,68.5
160,716704.199,7695331.691,65
161,716704.513,7695335.61,63.2
162,716703.304,7695340.622,61.7
163,716702.572,7695344.412,66
164,716701.964,7695347.401,60
165,716699.678,7695351.498,62.8
166,716693.326,7695349.723,64.5
167,716692.566,7695353.308,63.7
168,716689.31,7695358.903,66.6
169,716687.807,7695361.721,62.1
170,716685.473,7695365.289,64.1
171,716684.92,7695366.51,68.5
172,716683.012,7695369.138,67.4
173,716681.232,7695371.497,67
174,716678.518,7695374.671,61.8
175,716676.042,7695376.627,60.9
176,716673.706,7695378.494,63.9
177,716671.529,7695380.195,63.7
178,716668.975,7695382.146,64.3
179,716666.583,7695383.613,62.7
180,716663.526,7695385.692,61.3
181,716661.421,7695387.14,64.5
182,716656.57,7695389.782,60.7
183,716653.51,7695390.587,63
184,716650.345,7695391.681,62.5
185,716647.33,7695392.804,61.1
186,716643.48,7695393.423,66
187,716641.123,7695394.337,62.3
188,716638.747,7695394.743,61.8
189,716635.577,7695395.348,65
190,716632.591,7695395.816,65.7
191,716629.489,7695396.159,63.4
192,716626.575,7695396.322,64.1
193,716623.301,7695396.306,65.7
194,716620.014,7695396.276,67.8
195,716617.008,7695395.495,60.1
196,716613.815,7695395.13,66.3
197,716610.75,7695394.813,63.6
198,716608.082,7695394.72,64.3
199,716604.938,7695393.928,65.5
200,716602.241,7695392.825,61.6
201,716598.825,7695391.931,64.5
202,716596.171,7695390.716,65.3
203,716592.291,7695389.223,62.9
204,716588.631,7695387.374,66.7
205,716586.009,7695385.967,65.4
206,716582.88,7695384.274,63.3
207,716580.52,7695381.884,65.5
208,716577.726,7695380.188,63.9
209,716575.228,7695377.867,64.8
210,716572.995,7695376,65.9
211,716571.056,7695374.032,64.3
212,716569.116,7695371.821,66.1
213,716566.722,7695369.989,62.1
214,716565.137,7695367.414,62.6
215,716563.177,7695364.674,58.6
216,716561.013,7695361.548,51.9
217,716559.264,7695358.562,62.4
218,716557.493,7695355.173,61.1
219,716556.326,7695352.481,65.8
220,716554.691,7695348.791,64.4
221,716553.537,7695345.738,65.6
222,716552.769,7695343.045,61.6
223,716551.535,7695339.959,66.6
224,716550.928,7695336.914,64.2
225,716550.259,7695333.457,62.4
226,716549.452,7695330.664,61.7
227,716549.721,7695325.969,60.7
228,716549.325,7695322.592,61.8
229,716549.076,7695318.994,66.9
230,716549.336,7695315.849,56.2
231,716549.574,7695312.877,66.2
232,716550.219,7695309.051,53.7
233,716550.973,7695306.23,60.3
234,716551.921,7695302.582,60.8
235,716552.141,7695299.779,59.9
236,716553.285,7695297.169,63.2
237,716554.014,7695294.199,62.5
238,716554.856,7695291.866,62.6
239,716556.313,7695288.437,65.8
240,716558.517,7695285.358,62.7
241,716559.423,7695282.269,54.4
242,716561.138,7695279.773,62.1
243,716564.917,7695274.695,61
244,716567.568,7695271.107,60.5
245,716569.756,7695269.228,59.1
246,716571.766,7695267.17,61.4
247,716573.975,7695264.975,63.7
248,716577.369,7695262.201,62.4
249,716580.119,7695260.286,61.3
250,716582.28,7695257.979,61.1
251,716585.379,7695257.054,60.9
252,716588.756,7695254.934,57.7
253,716592.536,7695253.072,62.4
254,716596.264,7695251.717,57.1
255,716598.852,7695250.367,58.6
256,716602.022,7695249.793,55
257,716604.293,7695248.605,64.4
258,716607.975,7695247.778,56.7
259,716610.876,7695247.584,60.8
260,716613.836,7695247.019,62.4
261,716616.67,7695246.665,58.7
262,716620.054,7695246.515,62.5
263,716623.215,7695246.211,58.4
264,716626.232,7695246.329,59.2
265,716629.198,7695245.844,59.7
266,716633.206,7695246.554,59.9
267,716636.124,7695246.708,63.2
268,716640.152,7695247.524,60.3
269,716643.168,7695248.403,59
270,716646.595,7695249.564,58.1
271,716648.786,7695250.207,61.6
272,716651.61,7695250.925,62.7
273,716654.183,7695252.44,66.1
274,716656.994,7695253.974,64.4
275,716659.803,7695254.972,59.4
276,716663.424,7695256.914,64.2
277,716666.274,7695258.621,63.3
278,716668.517,7695260.218,64
279,716671.017,7695262.139,62.7
280,716673.696,7695263.948,65.4
281,716676.064,7695266.67,64.7
282,716678.01,7695269.009,65.7
283,716680.899,7695272.01,63.8
284,716684.166,7695275.454,62.8
285,716685.365,7695277.889,64.6
286,716687.695,7695281.139,59.4
287,716689.107,7695284.568,66.3
288,716691.034,7695287.521,59.2
289,716692.25,7695290.185,63.8
290,716693.398,7695293.971,66.7
291,716695.347,7695297.478,63.1
292,716695.66,7695300.428,64.8
293,716696.799,7695303.679,63.7
294,716698.306,7695306.436,60.9
295,716698.306,7695309.436,64.4
296,716699.083,7695313.09,63.6
297,716698.961,7695316.201,61
298,716699.553,7695319.654,64.8
299,716699.28,7695323.024,61.2
300,716699.597,7695326.456,64.8
301,716699.259,7695330.127,67.3
302,716699.15,7695332.701,65.5
303,716697.906,7695336.631,58.3
304,716697.007,7695339.791,62.5
305,716696.533,7695343.095,67.2
306,716695.901,7695346.096,63.4
307,716695.033,7695348.603,63.1
308,716688.002,7695349.648,64.5
309,716686.857,7695353.138,64.7
310,716685.147,7695355.587,61.3
311,716682.792,7695358.898,65
312,716681.505,7695361.848,64.8
313,716679.026,7695363.849,64
314,716675.987,7695367.109,64.4
315,716673.353,7695370.101,64.8
316,716671.912,7695372.078,67.1
317,716669.683,7695373.448,59.9
318,716667.668,7695375.022,63.8
319,716664.843,7695376.461,59.3
320,716663.027,7695378.446,64.7
321,716660.615,7695380.278,61.6
322,716656.547,7695382.585,66.4
323,716653.129,7695384.318,66
324,716650.458,7695385.557,64
325,716647.821,7695386.477,65.7
326,716644.076,7695387.31,66
327,716641.43,7695387.669,59
328,716638.391,7695388.796,60.7
329,716634.983,7695389.616,62.5
