Longitude,Latitude,Field,Data,Crop,Altitude(m),Yield mass (tonne/ha)
-51.03385333,-22.67571666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.31,3.072
-51.03389333,-22.67570499,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.11,3.614
-51.03391499,-22.67570333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,397.61,3.69
-51.03394166,-22.675695,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,397.51,6.733
-51.03397333,-22.675685,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,397.61,2.845
-51.03400333,-22.67566666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,397.41,4.2780000000000005
-51.03404499,-22.67566,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,397.51,4.353
-51.03408833,-22.67564333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,397.11,4.401
-51.03413999,-22.67560166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,397.21,2.885
-51.03419666,-22.67557,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,397.21,3.77
-51.03423833,-22.67553833,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,397.81,3.263
-51.03428333,-22.675504999999998,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.51,2.43
-51.03431666,-22.67547999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.31,3.255
-51.03434499,-22.67546166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,397.81,3.431
-51.03436333,-22.67545,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,398.11,10.8
-51.03439499,-22.67542166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.01,3.3089999999999997
-51.03443833,-22.675395,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.61,3.523
-51.03447666,-22.67537166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.01,3.1830000000000003
-51.03452,-22.67533666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.21,3.0269999999999997
-51.03457166,-22.675304999999998,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,399.21,3.3960000000000004
-51.034615,-22.67527166,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.11,4.238
-51.03466166,-22.67524999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.51,3.6460000000000004
-51.03470999,-22.67522333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.01,3.8480000000000003
-51.034745,-22.67520333,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.21,3.97
-51.03476999,-22.67518999,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,401.01,3.4589999999999996
-51.03480166,-22.67516666,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.81,2.639
-51.03483333,-22.675155,TALHAO-06,17/03/11-16:45:31 (2013386816),SOJA,400.61,4.782
